Country,Cases,Deaths,Date,Year,Lon,Lat,population,Pandemic
Afghanistan,39268,1458,2020-09-30,2020,66.00473366,33.83523073,35383028.0,Covid19
Albania,13518,384,2020-09-30,2020,20.04983396,41.14244989,2886427.0,Covid19
Algeria,51368,1726,2020-09-30,2020,2.61732301,28.15893849,40551398.0,Covid19
American Samoa,0,0,2020-09-30,2020,,,55739.0,Covid19
Andorra,1966,53,2020-09-30,2020,1.56054378,42.54229102,77295.0,Covid19
Angola,4905,179,2020-09-30,2020,17.53736768,-12.29336054,28842482.000000004,Covid19
Anguilla,3,0,2020-09-30,2020,-63.06498927,18.2239595,14435.0,Covid19
Antigua and Barbuda,101,3,2020-09-30,2020,-61.79469343,17.277499600000002,94520.0,Covid19
Argentina,723132,16113,2020-09-30,2020,-65.17980692,-35.3813488,43508459.0,Covid19
Armenia,50359,959,2020-09-30,2020,44.92993276,40.28952569,2936147.0,Covid19
Aruba,3872,25,2020-09-30,2020,-69.98267711,12.52088038,104865.0,Covid19
Australia,27063,882,2020-09-30,2020,134.49100009999998,-25.73288704,24262710.0,Covid19
Austria,44607,796,2020-09-30,2020,14.1264761,47.58549439,8747306.0,Covid19
Azerbaijan,40119,590,2020-09-30,2020,47.54599879,40.28827235,9736041.0,Covid19
Bahamas,3903,91,2020-09-30,2020,-76.62843038,24.29036702,377923.0,Covid19
Bahrain,70422,246,2020-09-30,2020,50.54196932,26.04205135,1425793.0,Covid19
Bangladesh,362043,5219,2020-09-30,2020,90.23812743,23.86731158,157977150.99999997,Covid19
Barbados,190,7,2020-09-30,2020,-59.559796999999996,13.18145428,285798.0,Covid19
Belarus,78260,828,2020-09-30,2020,28.03209307,53.53131377,9445638.0,Covid19
Belgium,117021,10001,2020-09-30,2020,4.64065114,50.63981576,11354407.0,Covid19
Belize,1891,24,2020-09-30,2020,-88.71010486,17.20027509,368399.0,Covid19
Benin,2357,41,2020-09-30,2020,2.32785254,9.6417597,10872072.0,Covid19
Bermuda,181,9,2020-09-30,2020,-64.7545589,32.31367802,63360.0,Covid19
Bhutan,281,0,2020-09-30,2020,90.40188155,27.41106589,736706.0,Covid19
Bolivia (Plurinational State of),134223,7900,2020-09-30,2020,-64.68538645,-16.70814787,11031822.0,Covid19
"Bonaire, Sint Eustatius and Saba",115,1,2020-09-30,2020,,,25017.0,Covid19
Bosnia and Herzegovina,27222,836,2020-09-30,2020,,,3386263.0,Covid19
Botswana,3172,16,2020-09-30,2020,23.79853368,-22.18403213,2159925.0,Covid19
Brazil,4745464,142058,2020-09-30,2020,-53.09783113,-10.78777702,206163056.0,Covid19
British Virgin Islands,71,1,2020-09-30,2020,-64.47146992,18.52585755,29355.0,Covid19
Brunei Darussalam,146,3,2020-09-30,2020,,,419791.0,Covid19
Bulgaria,20547,814,2020-09-30,2020,25.21552909,42.76890318,7151948.0,Covid19
Burkina Faso,2028,57,2020-09-30,2020,-1.75456601,12.26953846,18646350.0,Covid19
Burundi,508,1,2020-09-30,2020,29.87512156,-3.35939666,10488002.0,Covid19
Cabo Verde,5900,59,2020-09-30,2020,,,531140.0,Covid19
Cambodia,277,0,2020-09-30,2020,104.9069433,12.72004786,15766290.0,Covid19
Cameroon,20838,418,2020-09-30,2020,12.73964156,5.69109849,23926549.0,Covid19
Canada,155301,9278,2020-09-30,2020,-98.30777028,61.36206324,36382942.0,Covid19
Cayman Islands,211,1,2020-09-30,2020,-80.91213321,19.42896497,62563.99999999999,Covid19
Central African Republic,4829,62,2020-09-30,2020,20.46826831,6.56823297,4537683.0,Covid19
Chad,1193,85,2020-09-30,2020,18.64492513,15.33333758,14561658.000000002,Covid19
Chile,461300,12725,2020-09-30,2020,-71.38256213,-37.73070989,18209072.0,Covid19
China,91041,4746,2020-09-30,2020,103.8190735,36.56176546,1414049353.0,Covid19
Colombia,818203,25641,2020-09-30,2020,-73.08114582,3.91383431,48175047.99999999,Covid19
Comoros,478,7,2020-09-30,2020,43.68253968,-11.87783444,795597.0,Covid19
Congo,5089,89,2020-09-30,2020,15.21965762,-0.83787463,4980996.0,Covid19
Cook Islands,0,0,2020-09-30,2020,-159.78724219999998,-21.21927288,17521.0,Covid19
Costa Rica,73714,861,2020-09-30,2020,-84.19208768,9.97634464,4899335.999999999,Covid19
Croatia,16380,275,2020-09-30,2020,16.40412899,45.08047631,4208611.0,Covid19
Cuba,5531,122,2020-09-30,2020,-79.01605384,21.62289528,11335108.0,Covid19
Cyprus,1713,22,2020-09-30,2020,33.0060022,34.91667211,1170188.9999999998,Covid19
Czechia,67843,636,2020-09-30,2020,15.31240163,49.73341233,10618868.0,Covid19
Dem. People's Republic of Korea,0,0,2020-09-30,2020,127.1924797,40.15350311,25307665.0,Covid19
Democratic Republic of the Congo,10630,272,2020-09-30,2020,23.64396107,-2.87746289,78789130.0,Covid19
Denmark,27464,650,2020-09-30,2020,10.02800992,55.98125296,5711346.0,Covid19
Djibouti,5416,61,2020-09-30,2020,42.560675399999994,11.74871806,929117.0,Covid19
Dominica,30,0,2020-09-30,2020,-61.357726,15.439470199999999,71307.0,Covid19
Dominican Republic,111900,2101,2020-09-30,2020,-70.50568896,18.89433082,10397738.000000002,Covid19
Ecuador,135749,11312,2020-09-30,2020,-78.75201922,-1.42381612,16491116.000000002,Covid19
Egypt,103079,5914,2020-09-30,2020,29.86190099,26.49593311,94447071.0,Covid19
El Salvador,28981,839,2020-09-30,2020,-88.87164469,13.73943744,6356137.0,Covid19
Equatorial Guinea,5028,83,2020-09-30,2020,,,1215181.0,Covid19
Eritrea,375,0,2020-09-30,2020,38.84617011,15.36186618,3376558.0,Covid19
Estonia,3315,64,2020-09-30,2020,25.54248537,58.67192972,1316507.0,Covid19
Eswatini,5462,108,2020-09-30,2020,,,1113994.0,Covid19
Ethiopia,74584,1191,2020-09-30,2020,39.60080098,8.62278679,103603461.0,Covid19
Falkland Islands (Malvinas),13,0,2020-09-30,2020,-59.35238956,-51.74483954,2926.0,Covid19
Faroe Islands,463,0,2020-09-30,2020,-6.88095423,62.05385403,48173.0,Covid19
Fiji,32,2,2020-09-30,2020,165.4519543,-17.42858032,872406.0000000001,Covid19
Finland,9892,345,2020-09-30,2020,26.274665600000002,64.49884603,5497714.0,Covid19
France,526435,31691,2020-09-30,2020,-2.76172945,42.17344011,64667590.0,Covid19
French Guiana,9895,65,2020-09-30,2020,,,267824.0,Covid19
French Polynesia,1728,7,2020-09-30,2020,-144.9049439,-14.72227409,274575.99999999994,Covid19
Gabon,8752,54,2020-09-30,2020,11.7886287,-0.58660025,2007882.0,Covid19
Gambia,3579,112,2020-09-30,2020,-15.39601295,13.44965244,2149134.0,Covid19
Georgia,6192,36,2020-09-30,2020,43.50780252,42.16855755,4015457.0000000005,Covid19
Germany,289219,9488,2020-09-30,2020,10.38578051,51.10698181,82193770.0,Covid19
Ghana,46482,301,2020-09-30,2020,-1.21676566,7.95345644,28481947.0,Covid19
Gibraltar,382,0,2020-09-30,2020,,,33738.0,Covid19
Greece,18123,388,2020-09-30,2020,22.95555794,39.07469623,10615183.0,Covid19
Greenland,14,0,2020-09-30,2020,-41.34191127,74.71051289,56408.0,Covid19
Grenada,24,0,2020-09-30,2020,-61.68220189,12.11725044,110262.99999999999,Covid19
Guadeloupe,4954,53,2020-09-30,2020,,,399760.0,Covid19
Guam,2443,47,2020-09-30,2020,144.7679102,13.44165626,162947.99999999997,Covid19
Guatemala,90968,3238,2020-09-30,2020,-90.36482009,15.69403664,16583078.999999998,Covid19
Guinea,10634,66,2020-09-30,2020,-10.94066612,10.43621593,11738434.0,Covid19
Guinea-Bissau,2324,39,2020-09-30,2020,-14.94972445,12.04744948,1782434.0,Covid19
Guyana,2787,78,2020-09-30,2020,-58.98202459,4.79378034,771363.0,Covid19
Haiti,8740,227,2020-09-30,2020,-72.68527509,18.93502563,10839976.0,Covid19
Holy See,12,0,2020-09-30,2020,,,790.9999999999999,Covid19
Honduras,75537,2301,2020-09-30,2020,-86.6151661,14.82688165,9270794.0,Covid19
Hungary,26461,765,2020-09-30,2020,19.39559116,47.16277506,9752970.0,Covid19
Iceland,2695,10,2020-09-30,2020,-18.57396167,64.99575386,332209.0,Covid19
India,6225763,97497,2020-09-30,2020,79.61197609999999,22.88578212,1324517250.0,Covid19
Indonesia,282724,10601,2020-09-30,2020,117.24011370000001,-2.21505456,261556386.00000003,Covid19
Iran (Islamic Republic of),453637,25986,2020-09-30,2020,54.27407004,32.57503292,79563991.0,Covid19
Iraq,358290,9122,2020-09-30,2020,43.74353149,33.03970582,36610632.00000001,Covid19
Ireland,35740,1803,2020-09-30,2020,-8.13793569,53.17544870000001,4695790.0,Covid19
Isle of Man,340,24,2020-09-30,2020,-4.53873952,54.22418911,83296.0,Covid19
Israel,233456,1511,2020-09-30,2020,35.00444693,31.46110101,8108984.0,Covid19
Italy,313011,35875,2020-09-30,2020,12.07001339,42.79662641,60663068.0,Covid19
Jamaica,6408,101,2020-09-30,2020,-77.31482593,18.15694878,2906242.0,Covid19
Japan,83010,1564,2020-09-30,2020,138.0308956,37.59230135,127763267.0,Covid19
Jordan,10049,57,2020-09-30,2020,36.77136104,31.24579091,9554286.0,Covid19
Kazakhstan,140707,2075,2020-09-30,2020,67.29149357,48.15688067,17830902.0,Covid19
Kenya,38378,707,2020-09-30,2020,37.79593973,0.59988022,49051530.99999999,Covid19
Kiribati,0,0,2020-09-30,2020,-45.61110513,0.86001503,112529.0,Covid19
Kuwait,104568,607,2020-09-30,2020,47.58700459,29.33431262,3956862.0,Covid19
Kyrgyzstan,46669,1064,2020-09-30,2020,74.54165513,41.46221943,6074326.999999999,Covid19
Lao People's Democratic Republic,23,0,2020-09-30,2020,103.7377241,18.50217433,6845848.000000001,Covid19
Latvia,1729,37,2020-09-30,2020,24.91235983,56.85085163,1974265.0,Covid19
Lebanon,38363,361,2020-09-30,2020,35.88016072,33.92306631,6714281.0,Covid19
Lesotho,1565,35,2020-09-30,2020,28.22723131,-29.58003188,2075041.0000000002,Covid19
Liberia,1339,82,2020-09-30,2020,-9.32207573,6.45278492,4586788.0,Covid19
Libya,34014,540,2020-09-30,2020,18.00866169,27.03094495,6492160.0,Covid19
Liechtenstein,120,1,2020-09-30,2020,9.53574312,47.13665835,37655.0,Covid19
Lithuania,4578,92,2020-09-30,2020,23.88719355,55.32610984,2889555.0,Covid19
Luxembourg,8431,124,2020-09-30,2020,6.07182201,49.76725361,579266.0,Covid19
Madagascar,16377,229,2020-09-30,2020,46.70473674,-19.37189587,24894370.0,Covid19
Malawi,5772,179,2020-09-30,2020,34.28935599,-13.21808088,17205253.0,Covid19
Malaysia,11135,134,2020-09-30,2020,109.69762279999999,3.78986846,30684652.0,Covid19
Maldives,10194,34,2020-09-30,2020,73.45713004,3.7287092000000004,475505.0,Covid19
Mali,3101,131,2020-09-30,2020,-3.54269065,17.34581581,17965448.0,Covid19
Malta,3035,34,2020-09-30,2020,14.40523316,35.92149632,436099.0,Covid19
Marshall Islands,0,0,2020-09-30,2020,170.3397612,7.00376358,57723.0,Covid19
Martinique,1298,20,2020-09-30,2020,,,376789.0,Covid19
Mauritania,7488,161,2020-09-30,2020,-10.34779815,20.25736706,4163532.0,Covid19
Mauritius,381,10,2020-09-30,2020,57.57120551,-20.27768704,1261870.0,Covid19
Mayotte,3779,42,2020-09-30,2020,,,246460.0,Covid19
Mexico,733717,76603,2020-09-30,2020,-102.5234517,23.94753724,123333379.0,Covid19
Micronesia (Fed. States of),0,0,2020-09-30,2020,,,110215.0,Covid19
Monaco,214,1,2020-09-30,2020,7.40627677,43.75274627,38070.0,Covid19
Mongolia,313,0,2020-09-30,2020,103.0529977,46.82681544,3056357.9999999995,Covid19
Montenegro,10633,164,2020-09-30,2020,19.23883939,42.78890259,627271.0,Covid19
Montserrat,13,1,2020-09-30,2020,-62.18518546,16.73941406,4978.0,Covid19
Morocco,121183,2152,2020-09-30,2020,-8.45615795,29.83762955,35126274.0,Covid19
Mozambique,8556,59,2020-09-30,2020,35.53367543,-17.27381643,27829930.0,Covid19
Myanmar,12425,284,2020-09-30,2020,96.48843321,21.18566599,53045199.0,Covid19
Namibia,11140,121,2020-09-30,2020,17.20963567,-22.13032568,2358044.0,Covid19
